raw,n,sexes,id,canonical,group,indoor,implement_kg,barrier_cm,spacing_m,age_band,rankable,lower_better,confidence,note
600 Yards,29,FM,600_yards,600 Yards,sprint,False,,,,,True,True,OK,
600 Yards Short Track,29,FM,600_yards_indoor,600 Yards,sprint,True,,,,,True,True,OK,
4x110 Metres Shuttle Hurdles,27,M,4x110m_shuttle_hurdles,4x110m Shuttle Hurdles,hurdles,False,,,,,True,True,OK,
300 Metres Hurdles (84.0cm),27,FM,300m_hurdles_84cm,300m Hurdles,hurdles,False,,84.0,,,True,True,OK,
1500 Metres Steeplechase,27,FM,1500m_steeplechase,1500m Steeplechase,distance,False,,,,,True,True,OK,
100 Yards,26,FM,100_yards,100 Yards,sprint,False,,,,,True,True,OK,
4xMile Relay,25,M,4xmile_relay,4xMile Relay,relay,False,,,,,False,True,OK,
200m Straight,24,F,200m_straight,200m Straight,sprint,False,,,,,True,True,OK,
"20,000 Metres",23,FM,20000m,20000m,distance,False,,,,,True,True,OK,
5000 Metres Race Walk,21,FM,5000m_race_walk,5000m Race Walk,walk,False,,,,,True,True,OK,
Javelin Throw (600gr),21,M,javelin_throw_0_6kg,Javelin Throw,throw,False,0.6,,,,True,False,OK,
Heptathlon U20 Short Track,20,M,heptathlon_u20_u20_indoor,Heptathlon U20,combined,True,,,,U20,True,False,OK,age band U20
200 Metres Straight,20,M,200m_straight,200m Straight,sprint,False,,,,,True,True,OK,
5 Miles Road,17,FM,5_miles_road,5 Miles Road,road,False,,,,,True,True,OK,
80 Metres,16,FM,80m,80m,sprint,False,,,,,True,True,OK,
4x100 Metres Relay Mixed,16,FM,4x100m_relay_mixed,4x100m Relay Mixed,relay,False,,,,,False,True,OK,
400m,16,F,400m,400m,sprint,False,,,,,True,True,OK,
800m,16,F,800m,800m,middle,False,,,,,True,True,OK,
110 Metres Hurdles (0.91/8.80),15,M,110m_hurdles_91cm_sp8_8,110m Hurdles,hurdles,False,,91.0,8.8,,True,True,OK,
Heptathlon-100mH 76.2cm,15,F,heptathlon_100mh_76_2cm,Heptathlon-100mH 76.2cm,combined,False,,,,,True,False,OK,
100 Metres Hurdles (0.76/8.25),15,F,100m_hurdles_76cm_sp8_25,100m Hurdles,hurdles,False,,76.0,8.25,,True,True,OK,
2x2x400m Relay,15,FM,2x2x400m_relay,2x2x400m Relay,relay,False,,,,,False,True,OK,
Decathlon Boys,14,M,decathlon_boys_boys,Decathlon Boys,combined,False,,,,Boys,True,False,OK,age band Boys
600 Metres Road,14,FM,600m_road,600m Road,middle,False,,,,,True,True,OK,
50 Kilometres Race Walk,13,FM,50_km_race_walk,50 km Race Walk,walk,False,,,,,True,True,OK,
Mountain Running Classic Hill Senior Race,11,FM,mountain_running_classic_hill_senior_race,Mountain Running Classic Hill Senior Race,mountain,False,,,,,True,True,OK,
Weight Throw (14.5kg/61cm),11,M,weight_throw_14_5kg,Weight Throw,throw,False,14.5,,,,True,False,OK,
100 Metres Hurdles (0.84/8.50),10,M,100m_hurdles_84cm_sp8_5,100m Hurdles,hurdles,False,,84.0,8.5,,True,True,OK,
Octathlon Boys,9,M,octathlon_boys_boys,Octathlon Boys,combined,False,,,,Boys,True,False,OK,age band Boys
5 Kilometres Race Walk,9,F,5_km_race_walk,5 km Race Walk,walk,False,,,,,True,True,OK,
80 Metres Hurdles (0.76/8),9,F,80m_hurdles_76cm_sp8,80m Hurdles,hurdles,False,,76.0,8.0,,True,True,OK,
Cross Country 4000m,9,FM,cross_country_4000m,Cross Country 4000m,xc,False,,,,,True,True,OK,
Javelin Throw (400gr),9,F,javelin_throw_0_4kg,Javelin Throw,throw,False,0.4,,,,True,False,OK,
"25,000 Metres",8,FM,25000m,25000m,distance,False,,,,,True,True,OK,
400m sh,8,F,400m_sh,400m sh,sprint,False,,,,,True,True,OK,
Mile Steeplechase,7,FM,mile_steeplechase,Mile Steeplechase,distance,False,,,,,True,True,OK,
Weight Throw (12kg/61cm),7,M,weight_throw_12kg,Weight Throw,throw,False,12.0,,,,True,False,OK,
Weight Throw (7.26kg/61cm),7,F,weight_throw_7_26kg,Weight Throw,throw,False,7.26,,,,True,False,OK,
Quintuple Jump,6,F,quintuple_jump,Quintuple Jump,jump,False,,,,,True,False,OK,
"15,000 Metres",6,FM,15000m,15000m,distance,False,,,,,True,True,OK,
Mountain Classic,6,FM,mountain_classic,Mountain Classic,mountain,False,,,,,True,True,OK,
Vertical Uphill,6,FM,vertical_uphill,Vertical Uphill,mountain,False,,,,,True,True,OK,
"20,000 Metres Race Walk",6,M,20000m_race_walk,20000m Race Walk,walk,False,,,,,True,True,OK,
3000 Metres Race Walk Short Track,6,F,3000m_race_walk_indoor,3000m Race Walk,walk,True,,,,,True,True,OK,
"10,000 Metres Short Track",5,M,10000m_indoor,10000m,distance,True,,,,,True,True,OK,
10 Miles,5,FM,10_miles,10 Miles,road,False,,,,,True,True,OK,
50 Kilometres Road,5,FM,50_km_road,50 km Road,road,False,,,,,True,True,OK,
100 Kilometres Road,5,FM,100_km_road,100 km Road,road,False,,,,,True,True,OK,
35 Kilometres Race Walk,4,M,35_km_race_walk,35 km Race Walk,walk,False,,,,,True,True,OK,
60 Metres Hurdles (0.76/8.25),4,F,60m_hurdles_76cm_sp8_25,60m Hurdles,hurdles,False,,76.0,8.25,,True,True,OK,
Marathon Race Walk Mixed Relay,4,FM,marathon_race_walk_mixed_relay,Marathon Race Walk Mixed Relay,relay,False,,,,,False,True,OK,
30 Kilometres Race Walk,3,M,30_km_race_walk,30 km Race Walk,walk,False,,,,,True,True,OK,
Heptathlon U18 Short Track,3,M,heptathlon_u18_u18_indoor,Heptathlon U18,combined,True,,,,U18,True,False,OK,age band U18
150 Metres Short Track,3,M,150m_indoor,150m,sprint,True,,,,,True,True,OK,
60 Metres Hurdles (0.76/8),3,F,60m_hurdles_76cm_sp8,60m Hurdles,hurdles,False,,76.0,8.0,,True,True,OK,
"30,000 Metres",3,FM,30000m,30000m,distance,False,,,,,True,True,OK,
60 Metres Hurdles (0.84/8.50),3,M,60m_hurdles_84cm_sp8_5,60m Hurdles,hurdles,False,,84.0,8.5,,True,True,OK,
3x1000 Metres Relay,2,FM,3x1000m_relay,3x1000m Relay,relay,False,,,,,False,True,OK,
3000 Metres Race Walk,2,F,3000m_race_walk,3000m Race Walk,walk,False,,,,,True,True,OK,
Mile Race Walk Short Track,2,F,mile_race_walk_indoor,Mile Race Walk,walk,True,,,,,True,True,OK,
Tetrathlon U15B,2,F,tetrathlon_u15b,Tetrathlon U15B,combined,False,,,,,True,False,OK,
Decathlon (1.06) U20,2,M,decathlon_u20_u20_106cm,Decathlon U20,combined,False,,106.0,,U20,True,False,OK,age band U20
4x300 Metres Relay,2,M,4x300m_relay,4x300m Relay,relay,False,,,,,False,True,OK,
Half Marathon Race Walk,2,M,half_marathon_race_walk,Half Marathon Race Walk,walk,False,,,,,True,True,OK,
Tetrathlon U15C,2,M,tetrathlon_u15c,Tetrathlon U15C,combined,False,,,,,True,False,OK,
Weight Throw (10kg/61cm),2,M,weight_throw_10kg,Weight Throw,throw,False,10.0,,,,True,False,OK,
Pentathlon U16 Short Track,1,F,pentathlon_u16_u16_indoor,Pentathlon U16,combined,True,,,,U16,True,False,OK,age band U16
Pentathlon,1,F,pentathlon,Pentathlon,combined,False,,,,,True,False,OK,
3x800 Metres Relay,1,F,3x800m_relay,3x800m Relay,relay,False,,,,,False,True,OK,
Trail Running Senior Race,1,F,trail_running_senior_race,Trail Running Senior Race,mountain,False,,,,,True,True,OK,
Short Trail,1,F,short_trail,Short Trail,mountain,False,,,,,True,True,OK,
Mountain Running Up & Down Senior Race,1,M,mountain_running_up_down_senior_race,Mountain Running Up & Down Senior Race,mountain,False,,,,,True,True,OK,
50 Metres Hurdles (76.2cm),1,F,50m_hurdles_76_2cm,50m Hurdles,hurdles,False,,76.2,,,True,True,OK,
3x100 Metres Relay,1,F,3x100m_relay,3x100m Relay,relay,False,,,,,False,True,OK,
"Discus Throw (0,75kg)",1,M,discus_throw_0_75kg,Discus Throw,throw,False,0.75,,,,True,False,OK,
Octathlon U16,1,M,octathlon_u16_u16,Octathlon U16,combined,False,,,,U16,True,False,OK,age band U16
60 Metres Hurdles (0.84/8.25),1,M,60m_hurdles_84cm_sp8_25,60m Hurdles,hurdles,False,,84.0,8.25,,True,True,OK,
60 Metres Hurdles (0.76/7.75),1,F,60m_hurdles_76cm_sp7_75,60m Hurdles,hurdles,False,,76.0,7.75,,True,True,OK,
Shot Put (2kg),1,F,shot_put_2kg,Shot Put,throw,False,2.0,,,,True,False,OK,
2x2x200m Relay,1,F,2x2x200m_relay,2x2x200m Relay,relay,False,,,,,False,True,OK,
400 Metres Hurdles Short Track,1,M,400m_hurdles_indoor,400m Hurdles,hurdles,True,,,,,True,True,OK,
Tetrathlon U14C,1,M,tetrathlon_u14c,Tetrathlon U14C,combined,False,,,,,True,False,OK,
15 Kilometers Race Walk,1,M,15_km_race_walk,15 km Race Walk,walk,False,,,,,True,True,OK,
